season,player,total_runs,fours,sixes,balls_faced,matches,innings,team,outs,strike_rate,batting_average
2008,A Chopra,42,5,0,52,5,5,Kolkata Knight Riders,5,80.77,8.4
2008,A Kumble,13,1,0,17,4,4,Royal Challengers Bengaluru,2,76.47,6.5
2008,A Mishra,37,3,0,42,3,3,Delhi Capitals,3,88.1,12.33
2008,A Mukund,0,0,0,1,1,1,Chennai Super Kings,1,0.0,0.0
2008,A Nehra,3,0,0,13,3,3,Mumbai Indians,1,23.08,3.0
2008,A Symonds,161,15,9,105,3,3,Sunrisers Hyderabad,2,153.33,80.5
2008,AA Noffke,9,1,0,10,1,1,Royal Challengers Bengaluru,1,90.0,9.0
2008,AB Agarkar,54,5,2,46,6,6,Kolkata Knight Riders,5,117.39,10.8
2008,AB Dinda,2,0,0,4,2,2,Kolkata Knight Riders,1,50.0,2.0
2008,AB de Villiers,95,5,1,98,6,6,Delhi Capitals,5,96.94,19.0
2008,AC Gilchrist,436,51,19,318,14,14,Sunrisers Hyderabad,13,137.11,33.54
2008,AD Mascarenhas,9,0,1,8,1,1,Rajasthan Royals,1,112.5,9.0
2008,AM Nayar,206,16,9,138,10,10,Mumbai Indians,8,149.28,25.75
2008,AM Rahane,4,1,0,17,2,2,Mumbai Indians,2,23.53,2.0
2008,AS Yadav,49,5,2,39,6,6,Sunrisers Hyderabad,5,125.64,9.8
2008,Abdur Razzak,0,0,0,2,1,1,Royal Challengers Bengaluru,0,0.0,0.0
2008,B Akhil,46,4,3,31,7,7,Royal Challengers Bengaluru,3,148.39,15.33
2008,B Chipli,20,3,0,28,3,3,Royal Challengers Bengaluru,3,71.43,6.67
2008,B Lee,17,2,1,13,3,3,Punjab Kings,1,130.77,17.0
2008,BB McCullum,188,13,15,92,4,4,Kolkata Knight Riders,3,204.35,62.67
2008,BJ Hodge,12,2,0,17,3,3,Kolkata Knight Riders,3,70.59,4.0
2008,CK Kapugedera,16,0,0,23,3,3,Chennai Super Kings,3,69.57,5.33
2008,CL White,114,8,4,102,8,8,Royal Challengers Bengaluru,7,111.76,16.29
2008,CRD Fernando,2,0,0,1,1,1,Mumbai Indians,0,200.0,2.0
2008,D Kalyankrishna,3,0,0,8,1,1,Sunrisers Hyderabad,1,37.5,3.0
2008,D Salunkhe,33,5,0,24,3,3,Rajasthan Royals,2,137.5,16.5
2008,DB Das,103,9,5,94,6,6,Kolkata Knight Riders,6,109.57,17.17
2008,DB Ravi Teja,109,10,5,82,6,6,Sunrisers Hyderabad,6,132.93,18.17
2008,DJ Bravo,178,19,5,134,7,7,Mumbai Indians,6,132.84,29.67
2008,DJ Hussey,319,19,17,259,13,13,Kolkata Knight Riders,11,123.17,29.0
2008,DJ Thornely,39,2,2,53,4,4,Mumbai Indians,3,73.58,13.0
2008,DNT Zoysa,11,1,0,9,2,2,Sunrisers Hyderabad,1,122.22,11.0
2008,DP Vijaykumar,1,0,0,1,1,1,Sunrisers Hyderabad,0,100.0,1.0
2008,DPMD Jayawardene,179,15,7,131,12,12,Punjab Kings,7,136.64,25.57
2008,DR Smith,45,5,1,40,3,3,Mumbai Indians,3,112.5,15.0
2008,DS Kulkarni,2,0,0,16,1,1,Mumbai Indians,0,12.5,2.0
2008,DS Lehmann,18,3,0,18,2,2,Rajasthan Royals,2,100.0,9.0
2008,DT Patil,13,1,0,13,2,2,Royal Challengers Bengaluru,2,100.0,6.5
2008,DW Steyn,2,0,0,5,2,2,Royal Challengers Bengaluru,1,40.0,2.0
2008,G Gambhir,534,68,8,379,14,14,Delhi Capitals,13,140.9,41.08
2008,GC Smith,441,54,8,361,11,11,Rajasthan Royals,9,122.16,49.0
2008,GD McGrath,4,1,0,5,2,2,Delhi Capitals,1,80.0,4.0
2008,H Das,2,0,0,5,1,1,Sunrisers Hyderabad,1,40.0,2.0
2008,HH Gibbs,167,17,8,153,9,9,Sunrisers Hyderabad,9,109.15,18.56
2008,Harbhajan Singh,30,1,3,17,3,3,Mumbai Indians,2,176.47,15.0
2008,I Sharma,11,1,0,11,5,5,Kolkata Knight Riders,1,100.0,11.0
2008,IK Pathan,131,9,6,116,10,10,Punjab Kings,6,112.93,21.83
2008,Iqbal Abdulla,1,0,0,2,1,1,Kolkata Knight Riders,0,50.0,1.0
2008,J Arunkumar,23,5,0,23,3,3,Royal Challengers Bengaluru,3,100.0,7.67
2008,JA Morkel,241,18,14,163,10,10,Chennai Super Kings,7,147.85,34.43
2008,JDP Oram,18,1,1,12,2,2,Chennai Super Kings,1,150.0,18.0
2008,JH Kallis,199,23,4,183,11,11,Royal Challengers Bengaluru,11,108.74,18.09
2008,JR Hopes,221,27,8,148,11,11,Punjab Kings,11,149.32,20.09
2008,Joginder Sharma,16,1,1,11,2,2,Chennai Super Kings,2,145.45,8.0
2008,K Goel,76,7,4,78,6,6,Punjab Kings,6,97.44,12.67
