season,player,wickets,runs_conceded,balls_bowled,dot_balls,matches_bowled,team,economy,bowling_average,bowling_strike_rate
2008,A Kumble,7,304,230,85,10,Royal Challengers Bengaluru,7.93,43.43,32.86
2008,A Mishra,11,138,119,42,6,Delhi Capitals,6.96,12.55,10.82
2008,A Nehra,12,348,269,120,14,Mumbai Indians,7.76,29.0,22.42
2008,A Nel,1,31,18,7,1,Mumbai Indians,10.33,31.0,18.0
2008,A Symonds,0,101,41,9,3,Sunrisers Hyderabad,14.78,101.0,41.0
2008,AA Noffke,1,40,24,6,1,Royal Challengers Bengaluru,10.0,40.0,24.0
2008,AB Agarkar,8,207,156,66,9,Kolkata Knight Riders,7.96,25.88,19.5
2008,AB Dinda,9,260,234,116,12,Kolkata Knight Riders,6.67,28.89,26.0
2008,AD Mascarenhas,2,29,24,8,1,Rajasthan Royals,7.25,14.5,12.0
2008,AM Nayar,1,68,42,14,5,Mumbai Indians,9.71,68.0,42.0
2008,Abdur Razzak,0,29,12,5,1,Royal Challengers Bengaluru,14.5,29.0,12.0
2008,B Akhil,2,134,104,34,6,Royal Challengers Bengaluru,7.73,67.0,52.0
2008,B Geeves,1,91,48,15,2,Delhi Capitals,11.38,91.0,48.0
2008,B Lee,4,112,96,44,4,Punjab Kings,7.0,28.0,24.0
2008,BAW Mendis,1,24,24,9,1,Kolkata Knight Riders,6.0,24.0,24.0
2008,CK Kapugedera,0,49,17,0,3,Chennai Super Kings,17.29,49.0,17.0
2008,CL White,0,24,6,0,1,Royal Challengers Bengaluru,24.0,24.0,6.0
2008,CRD Fernando,10,160,120,49,5,Mumbai Indians,8.0,16.0,12.0
2008,D Kalyankrishna,2,87,48,10,3,Sunrisers Hyderabad,10.88,43.5,24.0
2008,D Salunkhe,1,78,47,13,5,Rajasthan Royals,9.96,78.0,47.0
2008,DB Ravi Teja,1,19,12,3,1,Sunrisers Hyderabad,9.5,19.0,12.0
2008,DJ Bravo,11,232,171,66,9,Mumbai Indians,8.14,21.09,15.55
2008,DJ Hussey,2,130,78,24,5,Kolkata Knight Riders,10.0,65.0,39.0
2008,DJ Thornely,3,40,42,19,4,Mumbai Indians,5.71,13.33,14.0
2008,DL Vettori,2,54,48,16,2,Delhi Capitals,6.75,27.0,24.0
2008,DNT Zoysa,2,99,66,24,3,Sunrisers Hyderabad,9.0,49.5,33.0
2008,DP Vijaykumar,4,198,151,63,9,Sunrisers Hyderabad,7.87,49.5,37.75
2008,DR Smith,5,83,66,25,4,Mumbai Indians,7.55,16.6,13.2
2008,DS Kulkarni,11,236,177,77,10,Mumbai Indians,8.0,21.45,16.09
2008,DW Steyn,10,252,228,116,10,Royal Challengers Bengaluru,6.63,25.2,22.8
2008,GD McGrath,12,357,324,153,14,Delhi Capitals,6.61,29.75,27.0
2008,Gagandeep Singh,3,141,84,25,4,Punjab Kings,10.07,47.0,28.0
2008,Harbhajan Singh,5,82,60,16,3,Mumbai Indians,8.2,16.4,12.0
2008,I Sharma,7,329,253,110,13,Kolkata Knight Riders,7.8,47.0,36.14
2008,IK Pathan,15,350,318,150,14,Punjab Kings,6.6,23.33,21.2
2008,Iqbal Abdulla,0,22,18,6,1,Kolkata Knight Riders,7.33,22.0,18.0
2008,JA Morkel,17,399,287,100,13,Chennai Super Kings,8.34,23.47,16.88
2008,JDP Oram,3,149,96,32,4,Chennai Super Kings,9.31,49.67,32.0
