player,season,total_runs,balls_faced,strike_rate,fours,sixes,wickets,balls_bowled,economy,raw_score,price_cr,value_score,is_big_buy
V Kohli,2016,973.0,640.0,152.03,84.0,38.0,0.0,6.0,13.0,1479.2519,,1479.2519,False
Shubman Gill,2023,890.0,563.0,158.08,85.0,33.0,0.0,0.0,0.0,1406.9120000000003,,1406.9120000000003,False
JC Buttler,2022,863.0,579.0,149.05,84.0,45.0,0.0,0.0,0.0,1286.3015,,1286.3015,False
DA Warner,2016,848.0,560.0,151.43,88.0,31.0,0.0,0.0,0.0,1284.1263999999999,,1284.1263999999999,False
SA Yadav,2025,717.0,427.0,167.92,69.0,38.0,0.0,0.0,0.0,1203.9863999999998,,1203.9863999999998,False
RR Pant,2018,684.0,394.0,173.6,68.0,37.0,0.0,0.0,0.0,1187.424,,1187.424,False
B Sai Sudharsan,2025,759.0,486.0,156.17,88.0,21.0,0.0,0.0,0.0,1185.3302999999999,,1185.3302999999999,False
CH Gayle,2012,733.0,456.0,160.75,46.0,59.0,0.0,28.0,14.14,1178.2975,,1178.2975,False
AB de Villiers,2016,687.0,407.0,168.8,57.0,37.0,0.0,0.0,0.0,1159.6560000000002,,1159.6560000000002,False
V Kohli,2024,741.0,479.0,154.7,62.0,38.0,0.0,0.0,0.0,1146.327,,1146.327,False
CH Gayle,2013,720.0,459.0,156.86,57.0,52.0,3.0,24.0,10.0,1129.392,,1129.392,False
CH Gayle,2011,608.0,332.0,183.13,57.0,44.0,8.0,216.0,6.78,1122.8699280235987,,1122.8699280235987,False
F du Plessis,2023,730.0,475.0,153.68,60.0,36.0,0.0,0.0,0.0,1121.864,,1121.864,False
SA Yadav,2023,605.0,334.0,181.14,65.0,28.0,0.0,0.0,0.0,1095.897,,1095.897,False
TM Head,2024,567.0,296.0,191.55,64.0,32.0,0.0,10.0,19.2,1086.0885,,1086.0885,False
AD Russell,2019,514.0,252.0,203.97,32.0,52.0,11.0,181.0,9.51,1057.6592174553102,,1057.6592174553102,False
SS Iyer,2025,604.0,345.0,175.07,43.0,39.0,0.0,0.0,0.0,1057.4228,,1057.4228,False
KS Williamson,2018,735.0,516.0,142.44,64.0,28.0,0.0,0.0,0.0,1046.934,,1046.934,False
KL Rahul,2018,659.0,416.0,158.41,66.0,32.0,0.0,0.0,0.0,1043.9219,,1043.9219,False
GJ Maxwell,2014,552.0,294.0,187.76,48.0,36.0,1.0,66.0,12.0,1037.1018666666666,,1037.1018666666666,False
N Pooran,2025,524.0,267.0,196.25,45.0,40.0,0.0,0.0,0.0,1028.35,,1028.35,False
MR Marsh,2025,627.0,383.0,163.71,56.0,37.0,0.0,0.0,0.0,1026.4617,,1026.4617,False
YBK Jaiswal,2023,625.0,382.0,163.61,83.0,26.0,0.0,0.0,0.0,1022.5625000000001,,1022.5625000000001,False
Shubman Gill,2025,650.0,417.0,155.88,62.0,24.0,0.0,0.0,0.0,1013.22,,1013.22,False
DA Warner,2019,692.0,481.0,143.87,57.0,21.0,0.0,0.0,0.0,995.5804,,995.5804,False
Priyansh Arya,2025,545.0,299.0,182.27,60.0,31.0,0.0,0.0,0.0,993.3715000000001,,993.3715000000001,False
Abhishek Sharma,2024,484.0,237.0,204.22,36.0,42.0,2.0,42.0,7.29,988.4247999999999,,988.4247999999999,False
